,dataset,method,precision,recall,f1,duration,cpu-energy,cpu-power,gpu-energy,gpu-power,ram-energy,ram-power,total-energy,normalised-runtime,normalised-energy,size_el,normalised-energy-log
12,13-abt_buy,JedAI,0.91,0.89,0.9,5.98,5.19,1.3,0,0,28.67,4.1,33.86,0,0.02,2173,-1.80737277254761
13,1-amazon_google,GE,0.76,0.57,0.65,412,431.8,1.84,0,0,1441.58,3.65,1873.38,0.09,0.41,4589,-0.389092178256263
14,2-fordors_zagats,GE,0.99,0.99,0.99,85,73.95,1.54,0,0,250.98,3.06,324.93,0.1,0.38,864,-0.42472393192499
15,3-beer,GE,1,0.84,0.91,481,918.13,3.33,0,0,2092.17,4.55,3010.3,0.07,0.41,7345,-0.387382021525047
16,4-dblp_acm,GE,0.99,0.97,0.98,532,834.88,2.71,0,0,2326.04,4.56,3160.92,0.12,0.69,4589,-0.161904553312913
17,5-dblp_acm-noisy,GE,0.99,0.96,0.97,556,875.58,2.72,0,0,2408.39,4.53,3283.97,0.11,0.67,4910,-0.174682311061061
18,6-dblp_scholar,GE,0.94,0.42,0.58,6627,11142.51,2.92,0,0,36703.72,5.8,47846.23,0.1,0.72,66879,-0.145442047120979
19,7-dblp_scholar-noisy,GE,0.9,0.4,0.56,7035,15275.08,3.76,0,0,51607.12,7.66,66882.2,0.11,1,66879,2.07794538678842E-05
20,8-itunes_amazon,GE,0.2,0.17,0.18,5966,11117.24,3.24,0,0,29462.85,5.17,40580.09,0.09,0.58,69737,-0.235150254734648
21,9-itunes_amazon-noisy,GE,0.1,0.08,0.09,5981,11776.41,3.42,0,0,30598.72,5.35,42375.13,0.09,0.61,69737,-0.216352217069198
22,10-walmart_amazon,GE,0.7,0.62,0.66,2364,3015.99,2.24,0,0,9458.63,4.19,12474.62,0.1,0.51,24628,-0.295401819835775
23,11-walmart_amazon-noisy,GE,0.67,0.59,0.63,2366,3205.95,2.37,0,0,9561.01,4.23,12766.96,0.1,0.52,24628,-0.285341647217388
24,12-movie,GE,0.84,0.84,0.84,4832,8803.08,3.17,0,0,23796.67,5.15,32599.75,0.1,0.65,49875,-0.184668639118792
25,13-abt_buy,GE,0.81,0.53,0.64,183,245.08,2.36,0,0,661.87,3.78,906.95,0.08,0.42,2173,-0.379476381181762
26,1-amazon_google,DeepMatcher,0.67,0.64,0.65,250.52,183.12,1.28,2531.83,12.92,926.15,3.91,3641.1,0.02,0.32,11460,-0.497952010971032
27,2-fordors_zagats,DeepMatcher,0.86,0.86,0.86,38.37,31.74,1.44,330.38,11.01,139.5,3.88,501.62,0.04,0.53,946,-0.275516292557444
