id,numero,rep,nom_voie,code_postal,nom_commune
40002_0145_00201,201,,Allée des Sports,40330,Amou
40002_0015_00096,96,,Rue du Château Vieux,40330,Amou
40002_0049_00326,326,,Avenue de l'Océan,40330,Amou
40002_0013_00306,306,,Route de la Chalosse,40330,Amou
40002_0018_00473,473,,Route de Berdillon,40330,Amou
40002_0018_00605_a,605,a,Route de Berdillon,40330,Amou
40002_0052_00034,34,,Rue Panecau,40330,Amou
40002_0007_00881_a,881,a,Chemin d'Arripot,40330,Amou
40002_0047_00019,19,,Rue des Tourterelles,40330,Amou
40002_0061_00130,130,,Rue Saint- Pierre,40330,Amou
40002_0034_00508,508,,Chemin de Carrière,40330,Amou
40002_0047_00078,78,,Rue des Tourterelles,40330,Amou
40002_0009_00052,52,,Rue de la Bourgade,40330,Amou
40002_0072_00872,872,,Chemin de Moutha,40330,Amou
40002_0018_00344,344,,Route de Berdillon,40330,Amou
40002_0016_00150,150,,Chemin de Ronde,40330,Amou
40002_0004_00323,323,,Avenue du Béarn,40330,Amou
40002_0012_01336,1336,,Chemin de Barrabas,40330,Amou
40002_0029_02296,2296,,Route de Bonnegarde,40330,Amou
40002_0009_00080,80,,Rue de la Bourgade,40330,Amou
40002_0150_00028,28,,Rue de la Técouère,40330,Amou
40002_0117_00100,100,,Allée des Coquelicots,40330,Amou
40002_0045_00079,79,,Rue du Mirailh,40330,Amou
40002_0063_00023_a,23,a,Impasse des Lauriers,40330,Amou
40002_0064_00941,941,,Chemin de Lesquiro,40330,Amou
40002_gi7k4e_00041,41,,Impasse de Barragne,40330,Amou
40002_0073_00420,420,,Route de Nassiet,40330,Amou
40002_0046_00043,43,,Rue Moncade,40330,Amou
40002_0046_00115,115,,Rue Moncade,40330,Amou
40002_0054_00143,143,,Avenue des Pyrénées,40330,Amou
40002_0125_00416,416,,Chemin Hoursans,40330,Amou
40002_0013_00862,862,,Route de la Chalosse,40330,Amou
40002_0054_00525,525,,Avenue des Pyrénées,40330,Amou
40002_0049_00267,267,,Avenue de l'Océan,40330,Amou
40002_0063_00010,10,,Impasse des Lauriers,40330,Amou
40002_0049_00305,305,,Avenue de l'Océan,40330,Amou
40002_0084_00325,325,,Chemin de Pilat,40330,Amou
40002_0054_00401_a,401,a,Avenue des Pyrénées,40330,Amou
40002_0058_00815,815,,Chemin de Larribaou,40330,Amou
40002_0016_00080,80,,Chemin de Ronde,40330,Amou
40002_0061_00115,115,,Rue Saint- Pierre,40330,Amou
40002_0088_00236_d,236,d,Avenue du Pont Neuf,40330,Amou
40002_0073_00845,845,,Route de Nassiet,40330,Amou
40002_0061_00192,192,,Rue Saint- Pierre,40330,Amou
40002_0070_00105,105,,Impasse de Mourthe,40330,Amou
40002_0119_00041,41,,Allée des Eglantines,40330,Amou
40002_0084_00002,2,,Chemin de Pilat,40330,Amou
40002_0045_00055,55,,Rue du Mirailh,40330,Amou
40002_0145_00016_b,16,b,Allée des Sports,40330,Amou
40002_0064_00855,855,,Chemin de Lesquiro,40330,Amou
40002_0049_00085,85,,Avenue de l'Océan,40330,Amou
40002_0040_00116,116,,Avenue de la Digue,40330,Amou
40002_0049_00470,470,,Avenue de l'Océan,40330,Amou
40002_0009_00083,83,,Rue de la Bourgade,40330,Amou
40002_0022_00005,5,,Rue Bertrand Ducournau,40330,Amou
40002_0064_00673,673,,Chemin de Lesquiro,40330,Amou
40002_0062_00580,580,,Chemin de Lateoulere,40330,Amou
40002_0052_00100,100,,Rue Panecau,40330,Amou
40002_0092_00089,89,,Route de Sault de Navailles,40330,Amou
40002_0047_00058,58,,Rue des Tourterelles,40330,Amou
40002_0052_00054,54,,Rue Panecau,40330,Amou
40002_0072_00992_b,992,b,Chemin de Moutha,40330,Amou
40002_0052_00007,7,,Rue Panecau,40330,Amou
40002_0110_00185_bis,185,bis,Impasse du Camp Romain,40330,Amou
40002_0054_00724,724,,Avenue des Pyrénées,40330,Amou
40002_0038_00230,230,,Route du Collège,40330,Amou
40002_0145_00025,25,,Allée des Sports,40330,Amou
40002_0046_00102,102,,Rue Moncade,40330,Amou
40002_0013_01723,1723,,Route de la Chalosse,40330,Amou
40002_0045_00070,70,,Rue du Mirailh,40330,Amou
40002_0155_00020,20,,Allée des Troenes,40330,Amou
40002_0061_00062,62,,Rue Saint- Pierre,40330,Amou
40002_0049_00296,296,,Avenue de l'Océan,40330,Amou
40002_0031_02031,2031,,Route de Brassempouy,40330,Amou
40002_0049_00293,293,,Avenue de l'Océan,40330,Amou
40002_0017_00120,120,,Chemin de Barragne,40330,Amou
40002_0011_00115,115,,Chemin de Baratnaou,40330,Amou
40002_0025_01472,1472,,Chemin de Biénabe,40330,Amou
40002_0065_00042,42,,Impasse des Lilas,40330,Amou
40002_0139_00025,25,,Impasse de Paul,40330,Amou
40002_0015_00105,105,,Rue du Château Vieux,40330,Amou
40002_0004_00300,300,,Avenue du Béarn,40330,Amou
40002_0049_00886,886,,Avenue de l'Océan,40330,Amou
40002_0034_00001,1,,Chemin de Carrière,40330,Amou
40002_0079_00248,248,,Chemin de Paul,40330,Amou
40002_0054_00522,522,,Avenue des Pyrénées,40330,Amou
40002_0006_00064_bis,64,bis,Avenue d'Aquitaine,40330,Amou
40002_0025_01962,1962,,Chemin de Biénabe,40330,Amou
40002_0049_00375,375,,Avenue de l'Océan,40330,Amou
40002_0017_00089,89,,Chemin de Barragne,40330,Amou
40002_0091_00551,551,,Chemin de Ricarrère,40330,Amou
40002_0024_00190,190,,Route de France,40330,Amou
40002_0052_00195,195,,Rue Panecau,40330,Amou
40002_0052_00171,171,,Rue Panecau,40330,Amou
40002_0004_00506,506,,Avenue du Béarn,40330,Amou
40002_0004_00078,78,,Avenue du Béarn,40330,Amou
40002_0080_00706,706,,Chemin de Pebarthe,40330,Amou
40002_0081_00215,215,,Impasse de Pelle,40330,Amou
40002_0073_01906,1906,,Route de Nassiet,40330,Amou
40002_0049_00528,528,,Avenue de l'Océan,40330,Amou
40002_0004_00420,420,,Avenue du Béarn,40330,Amou
40002_0044_00372,372,,Chemin de Gaye,40330,Amou
40002_0049_00769,769,,Avenue de l'Océan,40330,Amou
40002_0092_00049,49,,Route de Sault de Navailles,40330,Amou
40002_0060_00002,2,,Place Saint-pierre,40330,Amou
40002_0120_00227,227,,Chemin de Gayette,40330,Amou
40002_0015_00095,95,,Rue du Château Vieux,40330,Amou
40002_0093_00091_d,91,d,Place de la Técouère,40330,Amou
40002_0083_00508,508,,Chemin de Peyroun,40330,Amou
40002_0006_00031,31,,Avenue d'Aquitaine,40330,Amou
40002_0060_00012_a,12,a,Place Saint-pierre,40330,Amou
40002_0049_00165,165,,Avenue de l'Océan,40330,Amou
40002_0079_00560,560,,Chemin de Paul,40330,Amou
40002_0009_00061,61,,Rue de la Bourgade,40330,Amou
40002_0065_00100,100,,Impasse des Lilas,40330,Amou
40002_0135_00079,79,,Rue du Moulin,40330,Amou
40002_vdgyx9_00293,293,,Chemin de Bourdet,40330,Amou
40002_0084_00068,68,,Chemin de Pilat,40330,Amou
40002_0049_00082,82,,Avenue de l'Océan,40330,Amou
40002_0018_00096,96,,Route de Berdillon,40330,Amou
40002_0004_00445,445,,Avenue du Béarn,40330,Amou
40002_0006_00095,95,,Avenue d'Aquitaine,40330,Amou
40002_0093_00091_b,91,b,Place de la Técouère,40330,Amou
40002_0049_00120_b,120,b,Avenue de l'Océan,40330,Amou
40002_0090_00428,428,,Chemin de Pouy,40330,Amou
40002_0018_00667,667,,Route de Berdillon,40330,Amou
40002_0111_00039,39,,Allée des Capucines,40330,Amou
40002_0064_00941,941,,Chemin de Lesquiro,40330,Amou
40002_gi7k4e_00390,390,,Impasse de Barragne,40330,Amou
40002_0015_00125,125,,Rue du Château Vieux,40330,Amou
40002_0049_00299,299,,Avenue de l'Océan,40330,Amou
40002_0033_00045,45,,Pl du Capitaine Raymond de Peich,40330,Amou
40002_0046_00220,220,,Rue Moncade,40330,Amou
40002_0069_01115,1115,,Chemin de Meynard,40330,Amou
40002_0061_00125,125,,Rue Saint- Pierre,40330,Amou
40002_0073_00844,844,,Route de Nassiet,40330,Amou
40002_0068_00413_b,413,b,Chemin de Marlat,40330,Amou
40002_0025_02280,2280,,Chemin de Biénabe,40330,Amou
40002_0125_01135,1135,,Chemin Hoursans,40330,Amou
40002_0046_00087,87,,Rue Moncade,40330,Amou
40002_0005_00392,392,,Chemin d'Andriou,40330,Amou
40002_0028_00149,149,,Avenue de la Gare,40330,Amou
40002_0071_01694,1694,,Chemin Mousquero Arnaudet,40330,Amou
40002_0135_00141,141,,Rue du Moulin,40330,Amou
40002_0028_00174_e,174,e,Avenue de la Gare,40330,Amou
40002_0092_01539,1539,,Route de Sault de Navailles,40330,Amou
40002_0054_01269,1269,,Avenue des Pyrénées,40330,Amou
40002_0029_01878,1878,,Route de Bonnegarde,40330,Amou
40002_0054_00858,858,,Avenue des Pyrénées,40330,Amou
40002_0085_00176,176,,Chemin de Piraout,40330,Amou
40002_0018_00224,224,,Route de Berdillon,40330,Amou
40002_0040_00024,24,,Avenue de la Digue,40330,Amou
40002_0053_00022,22,,Place de la Poste,40330,Amou
40002_0021_00038,38,,Rue de l'Eglise,40330,Amou
40002_0072_00460,460,,Chemin de Moutha,40330,Amou
40002_0117_00231,231,,Allée des Coquelicots,40330,Amou
40002_0044_00088,88,,Chemin de Gaye,40330,Amou
40002_0023_00045,45,,Rue des Fleurs,40330,Amou
40002_gi7k4e_00050,50,,Impasse de Barragne,40330,Amou
40002_0049_00804,804,,Avenue de l'Océan,40330,Amou
40002_0006_00274,274,,Avenue d'Aquitaine,40330,Amou
40002_0155_00029,29,,Allée des Troenes,40330,Amou
40002_0052_00065,65,,Rue Panecau,40330,Amou
40002_0111_00068,68,,Allée des Capucines,40330,Amou
40002_0007_00548,548,,Chemin d'Arripot,40330,Amou
40002_0049_00075,75,,Avenue de l'Océan,40330,Amou
40002_0034_00293,293,,Chemin de Carrière,40330,Amou
40002_0064_00837,837,,Chemin de Lesquiro,40330,Amou
40002_0117_00041,41,,Allée des Coquelicots,40330,Amou
