numero,rep,nom_voie,code_postal,nom_commune
115,,Rue Saint- Pierre,40330,Amou
236,d,Avenue du Pont Neuf,40330,Amou
845,,Route de Nassiet,40330,Amou
192,,Rue Saint- Pierre,40330,Amou
105,,Impasse de Mourthe,40330,Amou
41,,Allée des Eglantines,40330,Amou
2,,Chemin de Pilat,40330,Amou
55,,Rue du Mirailh,40330,Amou
16,b,Allée des Sports,40330,Amou
855,,Chemin de Lesquiro,40330,Amou
85,,Avenue de l'Océan,40330,Amou
116,,Avenue de la Digue,40330,Amou
470,,Avenue de l'Océan,40330,Amou
83,,Rue de la Bourgade,40330,Amou
5,,Rue Bertrand Ducournau,40330,Amou
673,,Chemin de Lesquiro,40330,Amou
580,,Chemin de Lateoulere,40330,Amou
100,,Rue Panecau,40330,Amou
89,,Route de Sault de Navailles,40330,Amou
58,,Rue des Tourterelles,40330,Amou
54,,Rue Panecau,40330,Amou
992,b,Chemin de Moutha,40330,Amou
7,,Rue Panecau,40330,Amou
185,bis,Impasse du Camp Romain,40330,Amou
724,,Avenue des Pyrénées,40330,Amou
230,,Route du Collège,40330,Amou
25,,Allée des Sports,40330,Amou
102,,Rue Moncade,40330,Amou
1723,,Route de la Chalosse,40330,Amou
70,,Rue du Mirailh,40330,Amou
20,,Allée des Troenes,40330,Amou
62,,Rue Saint- Pierre,40330,Amou
296,,Avenue de l'Océan,40330,Amou
2031,,Route de Brassempouy,40330,Amou
293,,Avenue de l'Océan,40330,Amou
120,,Chemin de Barragne,40330,Amou
115,,Chemin de Baratnaou,40330,Amou
1472,,Chemin de Biénabe,40330,Amou
42,,Impasse des Lilas,40330,Amou
25,,Impasse de Paul,40330,Amou
105,,Rue du Château Vieux,40330,Amou
300,,Avenue du Béarn,40330,Amou
886,,Avenue de l'Océan,40330,Amou
1,,Chemin de Carrière,40330,Amou
248,,Chemin de Paul,40330,Amou
522,,Avenue des Pyrénées,40330,Amou
64,bis,Avenue d'Aquitaine,40330,Amou
1962,,Chemin de Biénabe,40330,Amou
375,,Avenue de l'Océan,40330,Amou
89,,Chemin de Barragne,40330,Amou
551,,Chemin de Ricarrère,40330,Amou
190,,Route de France,40330,Amou
195,,Rue Panecau,40330,Amou
171,,Rue Panecau,40330,Amou
